Gas,NFR/CRF Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,16.8,34.4,36.8,46.4,46.4,25.6,43.2,-,-,-,12.176,25.824,8.592,-,-,-,-,-,-,-,-,-,-,46.504,-,44.536,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Naphtha,kilotonne,93.93321996,97.34921996,96.49521996,93.07921996,85.39321996,71.72921996,71.72921996,86.24721996,86.24721996,89.66321996,87.53675996,101.2947,89.08249996,82.92515996,78.11713996,74.47909996,71.72921996,71.72921996,65.94588,9.08656,133.07028,78.81566,156.70046,87.88514,144.55658,104.39296,40.5223,66.07398,50.2152,24.2536,-,0.83692,12.02432
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Natural gas,kilotonne,13.45172755,13.82462001,96.31389565,121.8183211,96.33645815,122.7288844,148.9392594,156.6970974,188.8468048,210.0132875,284.3669319,371.5393472,410.2445573,399.757788,366.4690979,559.9784154,578.9967333,596.0464357,427.1396364,418.7157315,512.4711563,621.4166279,597.6662662,624.1573712,701.7380906,631.8363924,630.8693541,590.9299861,609.0180718,582.9251471,603.1214798,601.465998,573.3186147
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,OPG,kilotonne,1936.665121,1887.793188,1866.571138,1990.179377,1924.982791,2059.508142,2176.328675,2052.635721,1947.523086,1889.424237,1934.275539,1750.85168,1866.871678,1688.392028,1954.209473,1925.997883,1978.328403,1911.139795,2306.722959,2218.623468,2249.125285,2191.410136,1736.853239,1778.010431,1639.938815,1558.160926,1697.032799,1742.817541,1685.395804,1630.686054,1504.816665,1363.502701,1593.28583
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Petroleum coke,kilotonne,907.68,969.99,973.71,995.1,881.64,1066.71,1038.81,1100.19,1107.63,1083.45,1147.5642,866.1741,1024.9716,946.5819,940.7415,1272.598076,1338.482261,1350.173555,1281.672361,1263.262895,1275.461686,1419.2916,1493.208,1159.902694,1060.0884,1094.529912,1129.112935,1111.213294,1030.355072,1092.4989,841.9941,950.4879,905.6991
Carbon Dioxide as Carbon,1A1b,Refineries - combustion,Petrol,kilotonne,-,-,-,-,-,-,1.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ci,Coke production,Blast furnace gas,kilotonne,320.3385,280.4067961,264.430187,259.8969208,275.4890286,275.0980542,293.6831396,291.2738737,264.2296158,290.2927649,277.2826763,182.023109,136.1682831,112.9184102,79.37844022,74.86568857,148.875796,197.959249,192.8790191,151.1562462,200.2604843,178.2798683,180.0373834,200.5577718,191.8452582,172.1947963,171.9425219,152.8273475,162.3174815,152.9613128,150.3513016,136.6267764,119.0063813
Carbon Dioxide as Carbon,1A1ci,Coke production,Coke oven gas,kilotonne,238.2476396,217.4995324,188.9902107,169.7263198,175.0138404,164.5452814,198.4222069,199.862683,228.504846,212.3419104,222.2491034,186.3391834,168.9554407,176.4892747,170.6630905,170.5098323,168.9847118,166.0839525,164.244856,167.6376597,157.9592076,143.8256456,145.4762398,138.7597308,140.0317963,122.3715738,60.04438386,57.22297736,55.91923462,58.6275753,40.11885373,42.37655678,46.83352203
Carbon Dioxide as Carbon,1A1ci,Coke production,Colliery methane,kilotonne,1.70348861,1.70348861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ci,Coke production,Natural gas,kilotonne,0.628400813,0.581958219,0.645404836,0.72424909,0.946918109,0.549457765,1.151463182,0.752868821,0.35223225,0.657081286,0.855921914,0.453621138,-,0.050515259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ci,Solid smokeless fuel production,Coke,kilotonne,-,-,-,-,-,-,-,14.93769079,22.54001755,17.18884691,31.20046131,26.14900079,13.61333169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1cii,Upstream Oil Production - fuel combustion,Gas oil,kilotonne,408.2570444,404.4250896,484.7797766,534.5244787,566.7093646,487.4790218,504.5252791,491.8620874,492.2385638,409.9817643,368.7575671,370.6678094,376.9997494,368.4943022,342.7243,368.7502016,328.1683201,307.8335713,357.7713276,352.3084632,389.5465865,419.0668553,487.4190945,469.3018921,486.8238329,466.8570047,467.7007235,454.8860439,420.1059736,428.512767,415.6259017,386.3911191,323.5760635
Carbon Dioxide as Carbon,1A1cii,Upstream Oil Production - fuel combustion,Natural gas,kilotonne,2132.697506,2070.826964,2236.821408,2347.051594,2422.370834,2462.644891,2434.04951,2658.439229,2776.184326,2863.51347,2800.033116,2794.14525,2712.408376,2652.621221,2526.240118,2381.074277,2315.773306,2267.627045,2145.635422,2082.351546,2025.514819,1748.8734,1594.44912,1457.371759,1424.553987,1604.415489,1619.335782,1640.399583,1699.581267,1784.408642,1714.095112,1477.756231,1420.750761
Carbon Dioxide as Carbon,1A1cii,Oil terminal: fuel combustion,Gas oil,kilotonne,43.88960676,42.30928776,43.37453983,45.9147563,58.21630552,59.41744975,59.38487635,58.70337968,60.52494545,62.41019302,54.61903855,69.20313818,49.05070909,30.09321327,26.86331945,25.02129511,24.52915447,26.23248965,22.94694157,27.11955489,23.6524863,24.0599314,20.67482805,33.40358939,38.81988501,29.15677406,11.04886826,21.85186496,7.620462426,5.287378414,3.327274514,15.56874717,3.714216968
Carbon Dioxide as Carbon,1A1cii,Oil terminal: fuel combustion,Natural gas,kilotonne,212.3224324,196.734533,178.7350698,175.3594866,216.7667478,256.2676255,233.2799698,325.4533072,359.0892955,340.1900327,335.518137,353.5515309,352.7702876,345.6402491,324.5086915,323.5391108,282.2566356,293.5979782,296.1209787,306.2010726,273.6277285,235.3784256,208.8814771,202.0220095,182.2197621,203.3765033,220.289974,219.6721981,216.4713229,201.9725441,202.5933936,180.9082712,187.3377848
Carbon Dioxide as Carbon,1A1cii,Gas terminal: fuel combustion,Gas oil,kilotonne,0.398834743,0.443506877,0.449041549,0.524537052,0.558647388,0.605494721,0.721150834,0.734492052,0.766725273,11.84121011,0.131629091,0.23103,0.284113636,0.480771,0.749413173,0.558951029,2.422779299,0.593559149,1.307019409,1.018921599,0.64416442,0.88054556,1.843920479,2.694508582,0.793012831,0.935007424,1.121006619,0.822439459,0.822123923,0.438446765,0.378224902,0.543241095,0.38900951
Carbon Dioxide as Carbon,1A1cii,Gas terminal: fuel combustion,Natural gas,kilotonne,182.6627853,195.2397055,175.1799195,189.6601344,196.9285552,247.2367348,268.1949558,385.5099448,430.6562277,481.0375896,592.1698894,630.2237967,584.578682,566.5908464,541.4378465,539.2194921,429.6911782,403.6400058,441.1651458,390.0081264,398.9842204,371.6402327,371.5796855,397.459528,403.7029958,375.7060301,408.1475494,387.9489508,389.0362281,386.2993947,359.3248649,328.2510604,309.3878577
Carbon Dioxide as Carbon,1A1cii,Upstream Gas Production - fuel combustion,Gas oil,kilotonne,12.69891339,13.59618599,14.7584549,17.08794092,18.0635808,16.58205443,20.31370696,20.45869406,31.20453818,19.32138327,18.22241519,20.38784446,23.6283634,15.47080691,16.53083556,17.95463411,19.25199687,18.13963167,21.87578179,15.16661458,15.43801502,20.76999659,28.37451604,33.53573063,37.40039798,55.01681473,41.08494286,35.35350375,39.56971951,46.52558696,45.18585092,55.58181009,35.511227
Carbon Dioxide as Carbon,1A1cii,Upstream Gas Production - fuel combustion,Natural gas,kilotonne,485.2572385,543.5254981,579.8216467,671.3639103,582.0298092,628.3615648,740.1012352,832.8411975,880.5725384,870.2849446,940.5468662,1154.99712,1132.367957,1073.618291,1109.877533,1036.439677,964.8239682,874.0504773,887.1712119,904.1661648,874.6174391,785.4961356,678.9949666,739.5327736,708.9200977,714.5490365,639.3417129,624.719004,552.2508892,579.460845,568.9086312,440.7955072,518.0344182
Carbon Dioxide as Carbon,1A1ciii,Collieries - combustion,Coal,kilotonne,79.20900037,74.15141212,52.49002543,31.89267368,14.66949492,5.33436179,5.296529437,5.258697084,3.499492664,6.928049665,8.397147181,7.046557766,6.321173389,4.267023745,5.647546569,4.052249674,2.670219055,3.246553926,3.709046565,3.362211001,3.403505512,2.591048262,2.625321387,1.782202508,0.418132127,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ciii,Collieries - combustion,Colliery methane,kilotonne,39.59142494,31.01524091,31.36768683,34.01103122,40.94246763,23.90758153,21.49920108,19.26704359,17.26985005,19.44326655,21.61668306,36.7131166,35.36207391,49.34242871,43.76203499,39.03749343,39.63688634,40.19002933,43.22810469,42.46087331,49.62036764,41.0388796,32.53674259,25.96621451,22.92042059,20.79815942,26.31603845,24.00519922,23.10232869,21.38754166,17.17515643,18.04043263,18.56675339
Carbon Dioxide as Carbon,1A1ciii,Collieries - combustion,Natural gas,kilotonne,16.71574968,31.21688388,51.73148416,20.64295764,13.25685353,18.38185977,17.22188411,9.686912168,3.371365819,0.707625999,0.302090087,0.201609394,-,-,-,-,-,-,4.27685235,3.920802613,3.717022723,3.067572152,4.827108687,3.016047744,5.017132015,3.965248597,3.85543361,3.816471029,3.950449086,4.00715781,3.371971231,2.988701767,3.037358343
Carbon Dioxide as Carbon,1A1ciii,Gas production,Colliery methane,kilotonne,5.169206818,3.465718207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ciii,Gas production,LPG,kilotonne,29.44147996,33.47215895,32.18701498,33.35532768,37.79491595,34.28997784,38.27627412,35.92680161,36.78032232,36.77412811,31.46753157,-,-,0.016019374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ciii,Gas production,Natural gas,kilotonne,140.7222844,176.5385935,166.2445916,168.47347,172.2467421,193.9251937,264.5134102,245.0382718,317.764504,400.8834089,433.482361,455.802506,454.8902957,484.4737186,383.3940786,429.0740615,387.8119429,330.3424235,357.6291581,349.5756319,499.8994982,440.2436381,319.5034374,306.4433134,298.8540891,342.1360997,343.4279234,344.4537896,287.7210979,330.8747516,323.9884706,303.5303042,323.6861599
Carbon Dioxide as Carbon,1A1ciii,Nuclear fuel production,Natural gas,kilotonne,20.86995966,24.57710223,25.22033969,28.10426762,27.41078737,23.32697966,43.7556009,46.32652814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Coal,kilotonne,8.46249987,6.336489107,4.224326071,9.23188215,10.02729303,6.139158997,2.287567578,0.572497975,3.322842579,5.498287715,2.095695643,0.744287365,-,-,-,-,0.740596958,55.54477187,51.130814,44.37656974,47.61297845,38.97021195,37.48161206,39.38494624,40.16997902,32.88991092,25.66168461,24.45451156,24.69890856,17.21887928,22.40305799,15.20445555,19.67025521
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Coke,kilotonne,193.544897,164.024374,171.2529874,148.1895423,53.66644703,11.58154645,20.53979668,33.19486842,19.20075569,14.61051987,16.02185851,26.14900079,22.93445997,17.97284323,17.57123342,17.98568869,21.20200056,19.17870558,11.19259084,5.50433729,5.800403722,5.890031139,10.30543986,10.54078979,11.61648093,11.89147838,9.759392108,5.793914799,1.727130386,2.999819748,3.63270573,3.843886231,2.69244825
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Fuel oil,kilotonne,97.68859992,134.2865684,130.6340799,269.0327315,237.4132397,219.4943905,70.8435,100.7748,203.3465397,300.9273925,239.5203578,275.5387781,218.8247975,116.9101453,133.7635461,114.0957543,104.0906147,139.4690002,116.7864443,125.3193053,48.42097175,25.7308642,22.55236442,11.36133353,9.798319876,19.54595802,10.10123973,9.958674054,12.89854251,10.96317343,15.34562897,18.86199915,20.68665517
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Gas oil,kilotonne,25.37959031,26.39109116,26.43464296,26.1072613,25.10251951,23.46283636,25.79564835,25.35038406,26.97,22.1163072,60.46195149,8.696366839,8.991973757,10.56308873,9.937588579,8.646512579,7.860801102,4.667141344,2.559459968,2.011191576,2.81090427,1.92903729,1.833926846,2.316750935,2.75380465,3.184398335,2.366918326,2.251651573,2.534467242,2.198363895,2.115841321,2.945525015,3.664879363
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,LPG,kilotonne,8.143449189,8.144079635,5.905780514,5.905780514,8.144079635,7.96883273,4.893017423,13.68606538,16.79101671,16.78818892,19.12435446,-,7.957568609,-,-,-,-,-,3.479381352,2.891917584,1.254423835,-,1.761608559,0.592524683,2.370540162,1.777653259,0.488011262,0.599931841,0.888448701,1.384870677,0.888557688,0.792704074,0.744817095
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Natural gas,kilotonne,660.9453601,612.097529,678.8300127,761.7575693,995.9584996,998.4147096,1059.296063,1032.785449,1011.661342,1100.055162,457.8678757,438.6012379,452.8961923,528.3390974,510.1373606,446.6346264,443.2569034,388.6917081,387.4083569,288.5705712,327.4285136,312.3709015,275.040399,288.2293902,293.7093658,289.3533075,246.0677918,240.719624,249.9351259,249.0536029,256.9057815,272.7022343,269.5936411
Carbon Dioxide as Carbon,1A2b,Autogenerators,Coal,kilotonne,629.9327957,673.0002796,637.8663701,784.9574232,676.8084098,712.527678,931.7976057,896.9890744,936.5926195,753.4899271,655.3935787,702.5084344,734.0669443,620.761795,629.6963439,669.8801954,652.9864699,567.1352766,536.4449082,445.1042717,426.5155426,428.0549987,343.7637953,11.72169152,6.671128936,6.42228243,5.233524567,4.875563734,5.357141428,4.271761031,4.191709273,3.28107237,3.333229198
Carbon Dioxide as Carbon,1A2b,Autogeneration - exported to grid,Coal,kilotonne,238.1979238,232.0215328,242.7597195,428.8785383,368.0425453,266.2763203,310.5992019,298.9963581,230.2369493,195.5631898,199.0517353,273.8440913,215.7537454,312.2258459,248.4842233,207.1469802,248.2021792,312.7068462,367.6181187,407.2261523,333.9966456,335.539483,292.9005575,8.063759781,4.53484333,5.136680954,4.123731506,3.608188895,4.036012047,3.482077761,3.334779308,2.85738334,3.391550742
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Coal,kilotonne,49.80198304,186.6705169,173.4270005,189.9598453,165.8229808,144.5262813,120.6337938,68.36224601,60.04621084,95.85340793,44.79614537,43.3670808,63.82289546,43.6489799,29.20241434,34.14435593,47.97015234,32.693282,30.69875686,27.65749218,25.7255458,24.10596641,23.25175516,23.221217,25.65205455,23.20900173,21.07133052,19.76646131,18.24596429,16.42136786,14.65759131,17.63776548,18.55006369
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Fuel oil,kilotonne,27.744,46.872,47.575,32.87,44.115,33.735,21.625,23.436,14.807,13.984,8.3825,30.75625,29.87062,21.096,20.74808924,20.84496801,25.23421022,22.85524307,0.81747,0.82626,0.879,0.9669,0.37797,0.39555,0.40434,0.29007,0.29007,0.29007,0.32523,0.32523,0.29007,0.28128,0.28128
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Gas oil,kilotonne,18.01132216,18.72916147,18.7600692,18.52773383,17.81469127,16.65104516,18.30658915,17.99059514,19.14,19.14,24.9864,35.7918,32.51898765,18.3657,10.98865284,24.1077,13.0199718,9.355629681,0.373376501,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2b,Non-Ferrous Metal (combustion),Natural gas,kilotonne,223.4866059,223.0272926,187.7624502,204.4896358,225.2169966,214.4383804,242.8085405,231.9839795,278.3641151,280.4726191,297.055252,285.4284999,265.1481157,241.5134544,172.1934765,170.3819055,167.1857323,154.9923872,143.8904205,113.9093693,117.5006136,117.9937266,123.0333583,120.3035533,114.806001,165.3863762,156.6459128,162.0873287,170.7139791,157.8056909,151.8126783,154.9544533,158.5113307
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Coal,kilotonne,762.4529846,849.5087161,813.8602902,690.068264,681.1065585,563.6317606,406.5163815,325.1798397,219.4749847,213.3679221,121.3096384,219.5913705,240.7959674,254.7575814,231.2686276,258.9602486,258.2364873,268.2033872,266.8488162,236.5033687,236.2888443,289.8809328,223.2751607,163.9866302,121.21931,61.22357088,56.65474413,44.49920932,46.27633429,46.94194837,46.5800611,44.24718068,42.3084989
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Fuel oil,kilotonne,1137.504,1297.66,1305.285,1236.085,1048.38,691.135,567.44,428.792,370.175,120.1150973,192.0538986,130.6652928,95.35279424,76.15371848,81.54684006,88.97982595,80.40754133,84.56034679,111.29019,77.06193,133.99476,92.62902,22.28265,19.23252,20.35764,24.20766,23.63631,24.11976,25.35036,22.40571,10.45131,12.14778,10.13487
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Gas oil,kilotonne,125.2605586,130.2528048,130.467754,128.8519671,123.8930802,115.8004504,127.3140064,125.1164117,133.11,105.1445433,112.0032577,121.8322171,103.8637783,96.6657,49.12479466,94.8822,60.71919912,47.6066068,10.64378765,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2c,Chemicals (combustion),Natural gas,kilotonne,1328.110822,879.5233158,1044.459658,1686.80322,2022.965946,1991.634546,2118.942572,2318.083101,2334.092163,2591.914233,2779.127687,2723.768431,2477.091289,2465.413875,2426.117615,2112.55089,2022.148628,1894.958239,1913.347009,1540.290825,1539.678714,1318.353562,1305.501999,1417.242796,1277.35699,1224.916249,1245.643287,1292.911143,1351.859271,1343.751521,1322.658198,1334.699543,1167.396003
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Coal,kilotonne,472.5107527,568.1895495,638.9555998,659.7400687,550.9268248,323.1206427,124.4327938,120.7638607,36.91724481,51.43645223,115.9227493,105.5510066,116.0405262,107.5867143,110.0340204,104.3619747,105.7912583,107.9487241,111.4594396,95.11997571,95.61220805,92.06352521,103.3645978,106.3032251,122.7973412,99.51755545,97.19569856,78.79570519,0.134875531,0.134875531,0.134875531,0.134875531,0.134875531
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Fuel oil,kilotonne,195.942,237.832,265.555,227.495,230.955,163.485,127.155,87.668,73.164,61.72136907,41.52777148,86.70172924,43.27687322,33.56676142,28.56051871,31.26866154,33.01350857,31.64393615,3.56874,3.58632,3.59511,3.59511,0.92295,0.92295,0.92295,0.62409,0.62409,0.62409,0.62409,1.06359,0.62409,0.62409,0.62409
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Gas oil,kilotonne,28.65437616,29.79639325,29.84556464,29.47594018,28.34155429,26.49029911,29.12411911,28.62140136,30.45,20.88,18.1482,31.9638,28.1389768,18.1482,11.14976467,47.1801,13.08388063,13.66269794,2.822487659,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2d,"Pulp, Paper and Print (combustion)",Natural gas,kilotonne,578.770469,582.1205585,568.202338,515.427294,647.2932843,735.8238487,794.5596589,694.0446708,716.5913528,810.3506282,996.5539625,927.7784114,884.3998038,887.0272981,791.7683635,990.0355378,919.7780689,857.0785334,790.6224476,661.8752131,630.4231274,602.8085134,585.5683467,631.6279683,596.1202498,314.4879488,301.0070963,306.4210957,319.0807315,304.9047025,290.2923678,280.7487762,258.2545
