Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Carbon Monoxide,1A1a,Power stations,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027824518,0.028795088,0.03296459,0.034237354,0.034237354,0.039392049,0.037641998,0.042828512,0.042828512,0.04254214,0.040251164,0.042828512,0.038310199,0.037871096,0.038357928,0.03579649,0.039500234,0.04862277,0.046427252,0.051505581,0.057220292,0.062931821,0.075500366,0.080877794,0.07707223,0.079935949,0.087677537,0.093338155,0.099170596,0.100952466,0.103526631,0.074186237,0.075474911,0.074052597
Carbon Monoxide,1A1a,Power stations,OPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0.280140961,0.567853299,0.488353837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,Orimulsion,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215467617,0.581067508,1.787686161,1.968400937,1.705706419,1.773782537,1.212175824,0.252558334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,Petroleum coke,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009020313,0,0,0,0,0,0,0,0.165486194,0.236986181,0.383701942,0.566430331,0.896918252,0.330128958,0.069020586,0.189624429,0.0644526,0,0.019024002,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,Straw,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024560929,0.203526697,0.159378237,0.229847443,0.344252428,0.359870812,0.311813421,0.247928931,0.384213938,0.341773452,0.332937392,0.362753212,0.808025646,1.023731937,1.023800283,1.073373379,1.068275733,1.071754555,1.104460177,1.55778525,1.051238941,1.511978572
Carbon Monoxide,1A1a,Power stations,Wood,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244789463,5.560451177,4.630730799,6.784264239,8.585599732,8.084679636,8.899944003,10.48391642,8.753823308,10.0205482,11.20101656,12.17269702,9.762033129,9.167638279,12.07247229,9.501051973,18.46019885,18.30794917
Carbon Monoxide,1A1a,Power stations,Slurry,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296535998,0.269847758,0.329923755,0.171441738,0.264026867,0.062931529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0.442390509,0.340404429,0.33530952,0.402095356,0.576239558,0.832997254,0.717438057,0.759366304,0.524229759,0.412351884,0.418552227,0.369090997,0.412796682,0.396107397,0.381425731,0.377085265,0.353300828,0.398276538,0.37932856,0.384698105,0.441012837,0.467896469,0.504615508,0.649027822,0.707421634,0.541722802,0.724751998,0.751311377,0.798117093,0.886959413,0.947254863,1.068125979,1.094010715
Carbon Monoxide,1A1a,Power stations,Scrap tyres,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5283296,1.5283296,2.3774016,2.6038208,1.8679584,1.41512,0.461050073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1a,Power stations,Sour gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.634184645,9.264120569,10.40579488,10.75004019,11.04199507,1.430385666,0.884469243,0.782198079,0.440118667,0.231344427,0.21300615,0.114966895,0.122725397,0.090671803,0.031942172,0.001442113,0,0.008869691,0,0,0,0,0,0,0,0,0,0,0.117856742,0
