Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877940933,0.908565132,1.040124518,1.080283766,1.080283766,1.24292872,1.187709754,1.351358689,1.351358689,1.342322858,1.270036212,1.351358689,1.208793359,1.194938419,1.210299331,1.129478845,1.246342256,1.534183665,1.464908962,1.625144361,1.805459384,1.985674008,2.38224658,2.551919402,2.431843251,2.522201559,2.766470184,2.945078439,3.129108192,3.185331139,3.266553217,2.340782157,2.381443395,2.336565436
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,OPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0.639296039,1.29587035,1.114448501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Orimulsion,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11655315,3.413257488,9.995744596,11.11715119,8.744241034,8.868273265,7.738829734,1.700508196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Petroleum coke,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148016372,0,0,0,0,0,0,0,0.45354353,0.580625923,0.818078691,0.979353248,1.776005845,0.681619511,0.152507216,0.360807097,0.172831265,0,0.11843039,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Straw,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046010189,0.381268232,0.298564559,0.430575101,0.414837708,0.239490566,0.24466324,0.175630512,0.160132488,0.195233147,0.251475664,0.236674919,0.329079279,0.241218534,0.241258598,0.362269094,0.403068949,0.436345194,0.54401986,1.014770734,0.743408236,0.578930133
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Wood,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070708974,1.649011379,1.186519573,1.639865863,1.900986514,1.857266146,1.966114645,2.311367522,3.413415728,5.765352324,6.98372452,8.919991141,6.77766532,6.895092445,8.548136249,10.93583027,11.11646016,11.11569337
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Slurry,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49182724,1.045773409,1.84948447,0.940969306,1.186114932,0.217842976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.152,1.137575596,0.875325676,0.86222448,1.033959486,1.481758863,2.344665676,2.479947082,2.400783196,3.016694438,4.315744446,3.272815344,3.656547366,3.895911824,3.707562845,3.850131788,3.848881341,3.090315324,2.477816445,2.519323874,2.624410267,2.960622696,3.548168265,4.262862796,5.240241236,4.891277056,6.291494145,8.164070622,9.562776438,9.036169855,10.02743698,12.08285581,13.88213002,14.57949235
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Scrap tyres,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295488,0.295488,0.459648,0.503424,0.361152,0.2736,0.089139649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Sour gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3864317,18.61670582,9.896375204,9.632365194,9.550362085,7.360279052,8.467321024,7.40428072,1.527538972,0.377653592,0.364734254,0.189068579,0.193510714,0.215635975,0.066142624,0.003629811,0,0.017357433,0,0,0,0,0,0,0,0,0,0,0.230638309,0
Nitrogen oxides (NOx expressed as NO2),1A1a,Power stations,Waste oils,kilotonne,1.45798967,1.424486929,1.381057449,1.470398093,1.296680175,1.230915534,1.253250695,1.276826698,1.26689996,1.278067541,1.111794676,1.038584982,1.026176559,1.015008979,1.015008979,1.012527294,0.996396345,1.027417402,1.053475089,0.938805333,1.077090785,1.017384602,1.007095867,1.064371193,1.087020201,1.250908462,1.20018592,1.088462685,0.971496726,0.974653156,1.018698102,1.108868101,1.175049872,1.253636223,1.364170483,1.637354594,0,0,0,0.50713186,0.60680771,0.537950567,0.450594055,0.759376954,0.899648133,0.755040544,0.646062975,0.806801194,0.739567395,0.865919874,0.756164507,0.770811745
