Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009444285,0.009773719,0.011188944,0.01162095,0.01162095,0.013370572,0.012776565,0.014536987,0.014536987,0.014439786,0.013662176,0.014536987,0.013003368,0.012854326,0.013019568,0.012150157,0.013407293,0.016503693,0.015758483,0.017482185,0.01942189,0.021360515,0.02562657,0.027451794,0.026160097,0.02713211,0.029759784,0.031681128,0.033660794,0.034265602,0.035139333,0.025180525,0.02561793,0.025135164
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,OPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0.00319648,0.006479352,0.005572243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Orimulsion,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008621698,0.023250771,0.071532278,0.078763379,0.074262614,0.077898245,0.060760321,0.013147475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Petroleum coke,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001627957,0,0,0,0,0,0,0,0.001562907,0.002225046,0.00213136,0.003985451,0.006555872,0.003113058,0.000571671,0.002497806,0.000739698,0,0.000184403,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Straw,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6626512588339e-05,4.66265125855016e-05,0.000179912,0.000466265,0.000466265,0.000466222,0.001703824,0.001091161,0.001109429,0.000601154,0.000137768,0.000270698,0.000751632,0.001222738,4.8333441946367e-05,0.001777203,0.001268972,0.000896621,0.00083269,0.002281399,0.001305218,0.002747004
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Wood,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01797281,0.217122784,0.213529609,0.268948892,0.259441719,0.152693847,0.134125772,0.153681741,0.207784246,0.17429974,0.163726848,0.152962981,0.167760594,0.129605888,0.104459217,0.094981585,0.10152941,0.078244063
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Slurry,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013858183,0.012610947,0.015418512,0.008012083,0.012338916,0.002941014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,MSW,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002346624,0.002317241,0.001842378,0.001814803,0.002176269,0.003118793,0.004935032,0.005219771,0.005053148,0.006758239,0.009764761,0.004250364,0.0043111,0.007714019,0.004721883,0.004524561,0.004892849,0.005098407,0.00543275,0.005355492,0.005762391,0.006316239,0.007357089,0.007854434,0.007396252,0.007213184,0.008262199,0.010969647,0.009555831,0.012140012,0.014244539,0.019562786,0.02286242,0.022043837
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Scrap tyres,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176016,0.00176016,0.002738027,0.002998791,0.002151307,0.001629778,0.000530986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Sour gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023040882,0.05873491,0.065973173,0.068155703,0.070006709,0.011390913,0.007043493,0.006229054,0.003504896,0.001842317,0.00169628,0.000915542,0.000977327,0.001204713,0.000224246,4.5396300918388e-05,0,0.000219183,0,0,0,0,0,0,0,0,0,0,0.002912414,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Waste oils,kilotonne,0.003193077,0.003119704,0.003024591,0.003220252,0.0028398,0.002695772,0.002744687,0.00279632,0.00277458,0.002799038,0.002434891,0.002274558,0.002247383,0.002222925,0.002222925,0.00221749,0.002182162,0.0022501,0.002307168,0.002279993,0.002282836,0.002153157,0.002276645,0.002382662,0.00227238,0.001945478,0.002405168,0.03931226,0.036197068,0.026249878,0.024250384,0.01823075,0.011954781,0.012943743,0.012314637,0.010631797,0,0,0,0.003837012,0.005340143,0.004639259,0.004139213,0.00359505,0.003529269,0.003030115,0.002502267,0.003443072,0.002623884,0.002679773,0.002004774,0.001760756
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Poultry litter,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022691,0.000619833,0.001449901,0.001449901,0.001449901,0.001529684,0.001690861,0.006213648,0.004548416,0.004638239,0.003255803,0.002746933,0.003311576,0.001929321,0.000138947,0.000288771,0.000334975,0.000152968,0.000352791,0.000186484,0.000295725,0.000276242,0.000722604,0.000709143,0.001728241,0.000712183,0.001199664,0.001155962,0.001072815,0.001907252
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Power stations,Liquid bio-fuels,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008858156,0.07105826,0.055137317,0.022803711,0.013954875,0.004001669,0.011735367,0.008049946,0.003773938,0.002513183,0.000773292,0.001248113,0.000308552,0.000496279,0.000116404,0.000165393,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Heat supply,Landfill gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005320915,0.006209821,0.007079491,0.007514197,0.006520584,0.00310504,0.00391235,0.00312574,0.003436244,0.003208541,0.002815236,0.002815236,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096,0.002811096
PM0.1 (Particulate Matter < 0.1&micro;m),1A1a,Heat supply,Sewage gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003810374,0.003661095,0.003736848,0.004698061,0.004698061,0.003672047,0.005626873,0.006318081,0.006318081,0.006285681,0.005842875,0.005853675,0.005214307,0.005330949,0.005770514,0.005673313,0.005673313,0.005714354,0.004767181,0.005343909,0.005370909,0.005502671,0.00623708,0.00694665,0.006882929,0.007377575,0.007317094,0.007843061,0.008108745,0.008676832,0.008837754,0.009703925,0.009645604,0.009397201
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Fuel oil,kilotonne,0.461223773,0.431589201,0.450125111,0.496007208,0.483421096,0.430445009,0.409277458,0.39062713,0.421405893,0.442230186,0.439827383,0.372548897,0.368773064,0.307329956,0.289823819,0.260189248,0.253324096,0.231584449,0.233186318,0.238220763,0.240509518,0.263747705,0.270730609,0.279659568,0.289275369,0.272447716,0.268841791,0.269288239,0.25642138,0.204035171,0.115140736,0.129857283,0.111958809,0.092198742,0.091707431,0.069876688,0.07774573,0.081058624,0.042656609,0.042712209,0.025713339,0.034536984,0.027454596,0.025436687,0.01084906,0.01673561,0.019372488,0.011855469,0.03063905,0.005966899,0.006339215,0.005225199
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Gas oil,kilotonne,0.057084273,0.056148465,0.072993005,0.073928812,0.081415274,0.103406757,0.094984487,0.093580775,0.089837544,0.075332524,0.081415274,0.090773352,0.061763312,0.034156983,0.028074233,0.024798905,0.021055674,0.032753271,0.036964406,0.032285367,0.031832657,0.030896402,0.030896402,0.033237039,0.039790821,0.047280858,0.054302767,0.071763916,0.075836623,0.054982473,0.065311093,0.015188213,0.011008226,0.036928092,0.042702714,0.03696518,0.0137725,0,0,0,0,0.000144441,1.28927284698104e-05,0,0,0,3.38661846851176e-06,2.31794278360547e-06,6.18229804121884e-06,1.96895862382468e-06,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,LPG,kilotonne,0.000587937,0.000681472,0.000881905,0.001055614,0.00102889,0.000948716,0.001015527,0.001042252,0.000227157,0.000160346,0.000106898,4.00866039372801e-05,0.000106898,0.00042759,0.000601299,0.000494401,0.000106898,0.000133622,9.34017871738626e-05,0.000109436,0.000108561,0.000107198,0.000101724,8.16531369109197e-05,3.78615104112086e-05,5.61080214527549e-05,6.28013039074612e-05,6.90736589542847e-05,0.000237211,0.000241737,0.000195242,0.000177479,2.8964455346148e-05,4.7049399396905e-05,5.74906680908174e-05,0.000102108,0.000177944,0.000180913,1.53129468466191e-05,1.82064154543121e-05,1.47327472427232e-05,5.01234778689714e-05,4.32026695982878e-05,2.68204159629037e-05,4.51098599634918e-05,2.91676885937324e-05,3.73715620816242e-05,2.87061776501605e-05,9.05102280396488e-05,1.95535057100545e-05,1.64691073984186e-05,1.06562806886674e-05
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Refinery miscellaneous,kilotonne,0.006234428,0.006234428,0.006234428,0.006234428,0.006234428,0.006234428,0.006234428,0.006234428,0.006234428,0.002132831,0.000492192,0.000656256,0.001148447,0.005578173,0.006562556,0.007054748,0.007711004,0.007218812,0.005085981,0.004921917,0.003445342,0.007054748,0.00754694,0.009515706,0.009515706,0.005250045,0.008859451,0,0,0,0.002497053,0.004216132,0.000995806,0,0,0,0,0,0,0,0,0,0,0.007357686,0,0.005739084,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Naphtha,kilotonne,0.039790154,0.039790154,0.039790154,0.039790154,0.039790154,0.039790154,0.039790154,0.039790154,0.039790154,0.035224071,0.027179067,0.017829468,0.0180469,0.010001897,0.008045004,0.005653246,0.009132166,0.008045004,0.006522976,0.004566083,0.023927273,0.024797418,0.024579882,0.023709736,0.021751909,0.018271327,0.018271327,0.021969445,0.021969445,0.023275409,0.018314282,0.017229501,0.010781624,0.008247946,0.009377907,0.007297699,0.012350655,0.012558053,0.00866506,0.001432086,0.014612251,0.012711284,0.027642547,0.014455808,0.024847838,0.014084681,0.007529038,0.008397982,0.015572849,0.002618414,0,8.67098714615132e-05
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000981793,0.000374632,0.000103347,0.000129183,0.000142102,0.000142102,0.000129183,0.000119977,0.000123065,0.000855722,0.001080238,0.000852634,0.001083767,0.001312254,0.001377094,0.001655424,0.001867716,0.00204621,0.002175746,0.001707603,0.001377422,0.001516636,0.001889176,0.003481826,0.003625527,0.001933236,0.002271269,0.001945699,0.003512763,0.003705808,0.003564132,0.004192995,0.002945901,0.004070625,0.002599266,0.00849036,0.002655486,0.003899671,0.002186526
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,OPG,kilotonne,0.056667447,0.06727428,0.064930229,0.069149521,0.0681533,0.058894296,0.068036097,0.066629666,0.067684489,0.063230791,0.057370662,0.050045501,0.053385775,0.054206193,0.054440598,0.056843251,0.065867849,0.064871627,0.071315425,0.074610576,0.075942531,0.074026114,0.073193933,0.078040988,0.075484431,0.080759579,0.085340468,0.080490091,0.076368305,0.075503838,0.062298032,0.045941302,0.034855733,0.026125565,0.036278623,0.029125825,0.053635118,0.048577192,0.047103384,0.054070142,0.037591687,0.056237256,0.048163876,0.045009031,0.042997238,0.032339231,0.049195555,0.034315463,0.08299919,0.025467355,0.035825347,0.022384463
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Petrol,kilotonne,0.00015792,0.00015792,0.00015792,0.00015792,0.00015792,0.00015792,0.00015792,0.00015792,0.00015792,0.00015792,0,0,0.00015792,0,0.00015792,0,0,0,0,0,0,0,0,0,0,0,0.00031584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1b,Refineries - combustion,Petroleum coke,kilotonne,0.015506374,0.016927914,0.018725156,0.020275927,0.019701715,0.018905013,0.02061166,0.019901557,0.021411027,0.02393277,0.022219888,0.023123909,0.029214156,0.036541486,0.041965612,0.042155933,0.042584153,0.043726075,0.047246999,0.04800828,0.046438138,0.049626002,0.049816322,0.050910664,0.045105896,0.054574328,0.053146926,0.05628721,0.056667851,0.055430769,0.051276923,0.041769231,0.044854615,0.045830769,0.044049231,0.047815385,0.042126704,0.034735548,0.036954832,0.05215295,0.033217093,0.043207151,0.036097134,0.034833605,0.027111371,0.028616255,0.030170944,0.036000976,0.031653722,0.024054839,0.023930038,0.036195349
PM0.1 (Particulate Matter < 0.1&micro;m),1A1c,Coke production,Blast furnace gas,kilotonne,0.00298118,0.002312984,0.00146489,0.001105092,0.001156492,0.000899494,0.001259291,0.001336391,0.001310691,0.00141349,0.000462597,0.000668195,0.000745295,0.000899494,0.000745295,0.000822394,0.000848094,0.000899494,0.001027759,0.001079498,0.001025128,0.000927789,0.00086202,0.000859389,0.000915512,0.000936559,0.000983913,0.000997067,0.000951466,0.000949713,0.000926912,0.000569126,0.000446821,0.000378833,0.000260447,0.000249731,0.000470393,0.000616103,0.000560006,0.00044362,0.000641665,0.00057644,0.000589023,0.000658844,0.000623495,0.000562347,0.000554499,0.000498981,0.000529831,0.000491676,0.000468876,0.000467481
PM0.1 (Particulate Matter < 0.1&micro;m),1A1c,Coke production,Coke oven gas,kilotonne,0.010242886,0.010610015,0.00971055,0.011362628,0.009728906,0.010334668,0.010114391,0.009086431,0.007728056,0.008131897,0.006681739,0.005763918,0.005451859,0.005268295,0.004130196,0.005488572,0.00534172,0.005231582,0.004919406,0.004693291,0.004826078,0.004405793,0.003828292,0.003438072,0.003545179,0.003333122,0.003972482,0.003913489,0.004536107,0.004211644,0.004428484,0.003762816,0.003403738,0.003560326,0.003448717,0.00344434,0.003413329,0.003370471,0.003467403,0.003099293,0.003077785,0.003054634,0.003042157,0.002904456,0.002969564,0.002539,0.001250499,0.00123229,0.001193626,0.00123359,0.000847798,0.000890608
PM0.1 (Particulate Matter < 0.1&micro;m),1A1c,Coke production,Colliery methane,kilotonne,0.000163544,0.000116817,4.67269518283262e-05,4.67269518283262e-05,4.67269518283262e-05,7.00904277424893e-05,7.00904277424893e-05,0.000116817,9.34539036566524e-05,7.00904277424893e-05,0.000116817,0.000163544,0.000140181,9.34539036566524e-05,2.33634759141631e-05,9.34539036566524e-05,2.33634759141631e-05,2.33634759141631e-05,2.31189991416309e-05,2.31189991416309e-05,2.31189991579872e-05,2.31189991579872e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1c,Coke production,Natural gas,kilotonne,2.73255561122098e-06,5.48887257558303e-06,8.5778484839198e-06,9.10059825302293e-06,9.21940501872818e-06,8.72041660276609e-06,1.03599499694987e-05,1.15004949202692e-05,1.05975635009092e-05,1.2783607989886e-05,1.07163702666145e-05,9.7183934346903e-06,8.672893896484e-06,9.2669277250103e-06,1.06688475603324e-05,1.06688475603324e-05,9.95600696610081e-06,1.10490292105892e-05,1.05977472784358e-05,1.11020544322256e-05,1.01603856520911e-05,9.39129363826131e-06,1.03950745659322e-05,1.1642513410521e-05,1.51927437950607e-05,8.79579903924566e-06,1.83912161729682e-05,1.19942714171532e-05,5.59732666133815e-06,1.03950352281994e-05,1.35935076061069e-05,7.1965628502919e-06,0,7.99618094476878e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1c,Collieries - combustion,Coal,kilotonne,1.1922768,1.00386,0.87783696,0.87783696,0.75304944,0.741312,0.67891824,0.67891824,0.61776,0.49359024,0.3860784,0.38054016,0.32988384,0.30023136,0.12911184,0.20509632,0.18903456,0.1451736,0.12108096,0.09019296,0.072357726,0.0677376,0.04794984,0.02913408,0.01340064,0.00487296,0.0048384,0.00480384,0.0031968,0.0063288,0.007670826,0.006437058,0.005774416,0.003897943,0.005159055,0.003701746,0.002439255,0.002965739,0.003388228,0.003071393,0.003109115,0.002366933,0.002398241,0.001628049,0.000381965,0,0,0,0,0,0,0
PM0.1 (Particulate Matter < 0.1&micro;m),1A1c,Collieries - combustion,Coke oven gas,kilotonne,0.000111098,0.000259228,0.000222196,0.000407359,0.000370326,0.000444391,0.000444391,0.000259228,7.4065212e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
